La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
0.006899379,0.005994018,0.00432812,0.004784329,0.00325484,0.004420819,0.004081483,0.003759431,0.00522637,0.007790129,0.010322182,0.015794036,0.022844503,0.030084615
0.003464925,0.003599274,0.002991866,0.003206373,0.002453611,0.003936072,0.003410686,0.003658981,0.004791733,0.006342054,0.007830989,0.009672214,0.012841737,0.016634487
0.003296104,0.003115861,0.002840648,0.00291304,0.00295509,0.002492386,0.002819085,0.002870472,0.003137847,0.004434384,0.005598766,0.007904338,0.011630087,0.016840887
0.052446444,0.027230665,0.021785777,0.017659484,0.010138864,0.018342667,0.010512183,0.008846275,0.009796973,0.012788304,0.014414981,0.018315069,0.02739939,0.035044672
0.008991292,0.008738081,0.005739532,0.004688907,0.00295435,0.002032824,0.003169589,0.003309835,0.00406604,0.006082542,0.007852577,0.010335908,0.015681478,0.020649284
0.021582096,0.019145266,0.018161884,0.019146397,0.01753709,0.018446802,0.020332483,0.021096008,0.023869786,0.028946173,0.030056583,0.032571625,0.042987001,0.048884439
0.000556871,0.000895178,0.000504404,0.001541623,0.003933634,0.00484461,0.006273342,0.007966419,0.010165764,0.014082159,0.016350811,0.020852239,0.028543204,0.035646657
0.026272542,0.009392446,0.005915691,0.004307899,0.001974927,0.001729318,0.003177999,0.005824186,0.012779863,0.025573209,0.03731012,0.054037024,0.076125085,0.095487891
0.001918006,0.001189477,0.000740665,0.000299289,0.000336605,0.000492966,0.001460087,0.004720829,0.010812772,0.021723577,0.031489739,0.04520646,0.064170976,0.077099278
0.010802469,0.010149254,0.007874016,0.0088,0.009852217,0.019480519,0.018382353,0.03030303,0.043026706,0.046979866,0.063926941,0.073529412,0.090702948,0.118518519
0.11882716,0.129552239,0.066929134,0.0536,0.044334975,0.038961039,0.051470588,0.060606061,0.074183976,0.087248322,0.098173516,0.102941176,0.138321995,0.148148148
0.013888889,0.008955224,0.007874016,0.0064,0.007389163,0.019480519,0.011029412,0.02020202,0.035608309,0.046979866,0.057077626,0.088235294,0.097505669,0.118518519
0.111111111,0.023880597,0.043307087,0.0456,0.041871921,0.032467532,0.053308824,0.070707071,0.084569733,0.10738255,0.132420091,0.161764706,0.158730159,0.192592593
0.103395062,0.004776119,0.039370079,0.04,0.022167488,0.019480519,0.023897059,0.02020202,0.028189911,0.033557047,0.038812785,0.058823529,0.056689342,0.074074074
0.236111111,0.189850746,0.12992126,0.112,0.071428571,0.071428571,0.0625,0.060606061,0.06231454,0.067114094,0.073059361,0.088235294,0.095238095,0.118518519
0.027777778,0.006567164,0.015748031,0.0136,0.009852217,0.006493506,0.007352941,0.01010101,0.010385757,0.013422819,0.020547945,0.029411765,0.031746032,0.044444444
0.25308642,0.085373134,0.153543307,0.1376,0.115763547,0.077922078,0.108455882,0.111111111,0.115727003,0.127516779,0.134703196,0.147058824,0.158730159,0.192592593
0.023148148,0.053134328,0.12992126,0.1952,0.310344828,0.324675325,0.380514706,0.424242424,0.440652819,0.456375839,0.46803653,0.514705882,0.52154195,0.548148148
0.206790123,0.366567164,0.433070866,0.4664,0.534482759,0.61038961,0.599264706,0.666666667,0.676557864,0.684563758,0.687214612,0.720588235,0.721088435,0.740740741
0.063271605,0.035820896,0.106299213,0.1552,0.229064039,0.246753247,0.266544118,0.292929293,0.333827893,0.355704698,0.367579909,0.411764706,0.430839002,0.488888889
